"rec_id","role","reflink","reference"
688,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
688,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
689,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
690,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
690,"location","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
690,"general","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
691,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
692,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
692,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
693,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
694,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
694,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
695,"resource","O'Driscoll, 1988","O'Driscoll, Mike, 1988, Rare earths--enter the dragon: Industrial Minerals, no. 254, p. 21-55."
695,"general","O'Driscoll, 1988","O'Driscoll, Mike, 1988, Rare earths--enter the dragon: Industrial Minerals, no. 254, p. 21-55."
696,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
697,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
698,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
699,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
700,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
701,"location","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
701,"general","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
702,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
703,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
704,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
705,"general","Saskatchewan Geological Survey, 1991","Saskatchewan Geological Survey, 1991, Mineral resources of Saskatchewan: Saskatchewan Energy and Mines Miscellaneous Report 91-5, 76 p."
706,"general","USGS and INGEOMINAS, 1983","U.S. Geological Survey, and Instituto Nacional de Investigaciones Geologico ﾖ Mineras, 1983, Evaluacion de los recursos minerales no combustible de Colombia: Bogota, Colombia, Instituto Nacional de Investigaciones Geologico-Mineras Informe del Proyecto Cooperativo INGEOMINAS-USGS, no paginated."
707,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
707,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
707,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
707,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
707,"general","King, 1991","King, J.K., 1991, Rare earth elements and yttrium in Wyoming: Geological Survey of Wyoming Mineral Report 91-3, 125 p."
708,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
708,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
708,"general","Harben and Bates, 1990","Harben, P.W., and Bates, R.L., 1990, Industrial minerals--geology and world deposits: London, Industrial Minerals Division, Metal Bulletin Plc, 312 p."
708,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
708,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
708,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
708,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
709,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
709,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
709,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
709,"general","Harben and Bates, 1990","Harben, P.W., and Bates, R.L., 1990, Industrial minerals--geology and world deposits: London, Industrial Minerals Division, Metal Bulletin Plc, 312 p."
709,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
709,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
709,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
709,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
710,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
710,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
710,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
710,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
710,"general","Harben and Bates, 1990","Harben, P.W., and Bates, R.L., 1990, Industrial minerals--geology and world deposits: London, Industrial Minerals Division, Metal Bulletin Plc, 312 p."
710,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
710,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
710,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
711,"general","King, 1991","King, J.K., 1991, Rare earth elements and yttrium in Wyoming: Geological Survey of Wyoming Mineral Report 91-3, 125 p."
712,"general","Saskatchewan Geological Survey, 1991","Saskatchewan Geological Survey, 1991, Mineral resources of Saskatchewan: Saskatchewan Energy and Mines Miscellaneous Report 91-5, 76 p."
713,"resource","Cocker, 1998","Cocker, M.D., 1998, Defining the heavy mineral potential in the Upper Coastal Plain of Georgia with the use of NURE stream sediment geochemical data and a geographical information system, in B�langer, Marc, Clark, Thomas, and Jacob, Henri-Louis, eds., Proceedings of the 33rd Forum on the Geology of Industrial Minerals: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 50, p. 131-144."
713,"general","Cocker, 1998","Cocker, M.D., 1998, Defining the heavy mineral potential in the Upper Coastal Plain of Georgia with the use of NURE stream sediment geochemical data and a geographical information system, in B�langer, Marc, Clark, Thomas, and Jacob, Henri-Louis, eds., Proceedings of the 33rd Forum on the Geology of Industrial Minerals: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 50, p. 131-144."
713,"general","Wilcox, 1971","Wilcox, J.T., 1971, Preliminary investigation of heavy minerals in the McNairy Sand of west Tennessee: Tennessee Division of Geology Report of Investigations31, 11 p."
714,"general","King, 1991","King, J.K., 1991, Rare earth elements and yttrium in Wyoming: Geological Survey of Wyoming Mineral Report 91-3, 125 p."
715,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
716,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
717,"resource","Saskatchewan Geological Survey, 1991","Saskatchewan Geological Survey, 1991, Mineral resources of Saskatchewan: Saskatchewan Energy and Mines Miscellaneous Report 91-5, 76 p."
717,"general","Saskatchewan Geological Survey, 1991","Saskatchewan Geological Survey, 1991, Mineral resources of Saskatchewan: Saskatchewan Energy and Mines Miscellaneous Report 91-5, 76 p."
718,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
718,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
718,"general","Hussein and El Sharkawi, 1990","Hussein, A.A.A., and El Sharkawi, M.A., 1990, Chapter 26. Mineral deposits, in Said, Rushdi, ed., The geology of Egypt: Rotterdam, A.A. Balkema, p. 511-566."
718,"general","Schroter, 1989","Schroter, T., 1989, The Abu Tartur phosphorite deposit, Western Desert, Egypt, in Notholt, A.J.G., Sheldon, R.P., and Davidson, D.F., eds., Phosphate deposits of the world, Vol. 2, Phosphate rock resources: Cambridge, Cambridge University Press, p. 194-199."
719,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
719,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
719,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
720,"location","Boujo and Jiddou, 1989","Boujo, A., and Jiddou, E.H.O., 1989, The Eocene phosphorite deposits of Vofal and Loubboia, Mauritania, in Notholt, A.J.G., Sheldon, R.P., and Davidson, D.F., eds., Phosphate deposits of the world, Volume 2-- Phosphate rock resources: Cambridge, Cambridge University Press, p. 207-213."
720,"general","Boujo and Jiddou, 1989","Boujo, A., and Jiddou, E.H.O., 1989, The Eocene phosphorite deposits of Vofal and Loubboia, Mauritania, in Notholt, A.J.G., Sheldon, R.P., and Davidson, D.F., eds., Phosphate deposits of the world, Volume 2-- Phosphate rock resources: Cambridge, Cambridge University Press, p. 207-213."
720,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
721,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
721,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
721,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
722,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
722,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
723,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
723,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
724,"general","Will and others, 1995","Will, Ray, Anderson, Eric, and Mori, Shojiro, 1995, Rare Earth minerals and products: Chemical Economics Handbook Marketing Research Report."
725,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
725,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
725,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
726,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
726,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
726,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
727,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
727,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
727,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
728,"resource","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
728,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
729,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
729,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
729,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
730,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
730,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
730,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
731,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
731,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
731,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
732,"general","Will and others, 1995","Will, Ray, Anderson, Eric, and Mori, Shojiro, 1995, Rare Earth minerals and products: Chemical Economics Handbook Marketing Research Report."
733,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
733,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
733,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
734,"resource","U.S. Geological Survey, 1975","U.S. Geological Survey, 1975, Development of phosphate resources in southeastern Idaho: Draft Environmental Impact Statement, v. 2, pt. 4.2, p. 46-73."
734,"general","U.S. Geological Survey, 1975","U.S. Geological Survey, 1975, Development of phosphate resources in southeastern Idaho: Draft Environmental Impact Statement, v. 2, pt. 4.2, p. 46-73."
735,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
735,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
735,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
736,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
736,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
737,"general","Li and others, 1996","Li, Y., Luo, Y., Dongye, M., Bi, R., Zhou, M., and Wang, C., 1996, Phosphate deposits of China, in Mineral deposits of China, Volume 4: Beijing, Geological Publishing House."
737,"general","Wen Lu, 1998","Wen Lu, 1998, Chinese industrial minerals: Worcester Park, United Kingdom, Industrial Minerals Information Ltd., 210 p."
738,"resource","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
738,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
739,"resource","Hedrick, 1998","Hedrick, J.B., 1998, Rare earths: U.S. Geological Survey Minerals Yearbook 1997."
739,"general","Hedrick, 1998","Hedrick, J.B., 1998, Rare earths: U.S. Geological Survey Minerals Yearbook 1997."
740,"resource","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
740,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
741,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
742,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
742,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
742,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
742,"general","Gier�, 1996","Gier�, R., 1996, Formation of rare earth minerals in hydrothermal systems, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals--chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 105-150."
742,"general","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
742,"general","Watson and Snyman, 1975","Watson, M.D., and Snyman, C.P., 1975, The geology and mineralogy of the fluorite deposits at the Buffalo fluorspar mine on Buffelsfontein, 347 NR, Naboomspruit District: Transactions of the Geologic Society of South Africa, v. 78, p. 137-175."
745,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
745,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
745,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
745,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
745,"general","Gier�, 1996","Gier�, R., 1996, Formation of rare earth minerals in hydrothermal systems, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals--chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 105-150."
745,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
746,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
746,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
747,"location","Metz and others, 1985","Metz, M.C., Brook, D.G., and Rosenberg, P.E., and Zartman, R.E., 1985, Geology and geochemistry of the Snowbird Deposit, Mineral County, Montana: Economic Geology, v. 80, no. 2, p.394-409."
747,"general","Metz and others, 1985","Metz, M.C., Brook, D.G., and Rosenberg, P.E., and Zartman, R.E., 1985, Geology and geochemistry of the Snowbird Deposit, Mineral County, Montana: Economic Geology, v. 80, no. 2, p.394-409."
748,"general","Gier�, 1996","Gier�, R., 1996, Formation of rare earth minerals in hydrothermal systems, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals--chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 105-150."
